2025-08-16T21:46:36+00:00
Running /datadrive/grpc/bazel-bin/test/cpp/microbenchmarks/bm_fullstack_streaming_ping_pong
Run on (96 X 2445.44 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x96)
  L1 Instruction 32 KiB (x96)
  L2 Unified 512 KiB (x96)
  L3 Unified 32768 KiB (x12)
Load Average: 39.17, 19.78, 8.06
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_StreamingPingPong<TCP, NoOpMutator, NoOpMutator>/0/0",12634,171811,103538,ns,0,,,,
"BM_StreamingPingPong<TCP, NoOpMutator, NoOpMutator>/0/1",7891,341503,179281,ns,0,,,,
"BM_StreamingPingPong<TCP, NoOpMutator, NoOpMutator>/0/2",5559,458102,242458,ns,0,,,,
"BM_StreamingPingPong<TCP, NoOpMutator, NoOpMutator>/1/1",7657,341441,180742,ns,11065.5,,,,
"BM_StreamingPingPong<TCP, NoOpMutator, NoOpMutator>/1/2",5634,462383,246492,ns,16227.7,,,,
"BM_StreamingPingPong<TCP, NoOpMutator, NoOpMutator>/8/1",7808,337189,179463,ns,89154.8,,,,
"BM_StreamingPingPong<TCP, NoOpMutator, NoOpMutator>/8/2",5549,464185,246018,ns,130072,,,,
"BM_StreamingPingPong<TCP, NoOpMutator, NoOpMutator>/64/1",7413,333185,178531,ns,716962,,,,
"BM_StreamingPingPong<TCP, NoOpMutator, NoOpMutator>/64/2",5440,505510,263314,ns,972223,,,,
"BM_StreamingPingPong<TCP, NoOpMutator, NoOpMutator>/512/1",7408,336733,188649,ns,5.42807e+06,,,,
"BM_StreamingPingPong<TCP, NoOpMutator, NoOpMutator>/512/2",5431,462834,249646,ns,8.20361e+06,,,,
"BM_StreamingPingPong<TCP, NoOpMutator, NoOpMutator>/4096/1",7406,339159,192382,ns,4.25819e+07,,,,
"BM_StreamingPingPong<TCP, NoOpMutator, NoOpMutator>/4096/2",5465,445393,250443,ns,6.542e+07,,,,
"BM_StreamingPingPong<TCP, NoOpMutator, NoOpMutator>/32768/1",6642,325197,199911,ns,3.27826e+08,,,,
"BM_StreamingPingPong<TCP, NoOpMutator, NoOpMutator>/32768/2",4707,500579,289671,ns,4.52486e+08,,,,
"BM_StreamingPingPong<TCP, NoOpMutator, NoOpMutator>/262144/1",3620,659004,402421,ns,1.30283e+09,,,,
"BM_StreamingPingPong<TCP, NoOpMutator, NoOpMutator>/262144/2",2007,1.04895e+06,654188,ns,1.60287e+09,,,,
"BM_StreamingPingPong<TCP, NoOpMutator, NoOpMutator>/2097152/1",411,3.6878e+06,3.17599e+06,ns,1.32063e+09,,,,
"BM_StreamingPingPong<TCP, NoOpMutator, NoOpMutator>/2097152/2",218,7.03425e+06,6.13472e+06,ns,1.3674e+09,,,,
"BM_StreamingPingPong<TCP, NoOpMutator, NoOpMutator>/16777216/1",66,2.29009e+07,2.14704e+07,ns,1.56282e+09,,,,
"BM_StreamingPingPong<TCP, NoOpMutator, NoOpMutator>/16777216/2",33,4.68587e+07,4.25177e+07,ns,1.57837e+09,,,,
"BM_StreamingPingPong<TCP, NoOpMutator, NoOpMutator>/134217728/1",5,3.75203e+08,2.49964e+08,ns,1.07389e+09,,,,
"BM_StreamingPingPong<TCP, NoOpMutator, NoOpMutator>/134217728/2",3,6.16106e+08,4.78662e+08,ns,1.12161e+09,,,,
"BM_StreamingPingPong<InProcess, NoOpMutator, NoOpMutator>/0/0",182365,7657.85,7657.65,ns,0,,,,
"BM_StreamingPingPong<InProcess, NoOpMutator, NoOpMutator>/0/1",102749,13513.9,13513,ns,0,,,,
"BM_StreamingPingPong<InProcess, NoOpMutator, NoOpMutator>/0/2",76230,18294,18292.5,ns,0,,,,
"BM_StreamingPingPong<InProcess, NoOpMutator, NoOpMutator>/1/1",93799,13672.5,13671.6,ns,146289,,,,
"BM_StreamingPingPong<InProcess, NoOpMutator, NoOpMutator>/1/2",72495,18529.9,18527.3,ns,215897,,,,
"BM_StreamingPingPong<InProcess, NoOpMutator, NoOpMutator>/8/1",100439,13600.1,13598.3,ns,1.17662e+06,,,,
"BM_StreamingPingPong<InProcess, NoOpMutator, NoOpMutator>/8/2",73583,18466.6,18466.1,ns,1.7329e+06,,,,
"BM_StreamingPingPong<InProcess, NoOpMutator, NoOpMutator>/64/1",98441,13828.9,13828.6,ns,9.25618e+06,,,,
"BM_StreamingPingPong<InProcess, NoOpMutator, NoOpMutator>/64/2",73690,18765.6,18764.5,ns,1.36428e+07,,,,
"BM_StreamingPingPong<InProcess, NoOpMutator, NoOpMutator>/512/1",98109,14140.3,14139.7,ns,7.24203e+07,,,,
"BM_StreamingPingPong<InProcess, NoOpMutator, NoOpMutator>/512/2",71127,19343.7,19342.2,ns,1.05882e+08,,,,
"BM_StreamingPingPong<InProcess, NoOpMutator, NoOpMutator>/4096/1",90252,15316.8,15316.1,ns,5.34863e+08,,,,
"BM_StreamingPingPong<InProcess, NoOpMutator, NoOpMutator>/4096/2",62865,22300.3,22298.8,ns,7.34749e+08,,,,
"BM_StreamingPingPong<InProcess, NoOpMutator, NoOpMutator>/32768/1",32642,45295.1,45293.5,ns,1.44692e+09,,,,
"BM_StreamingPingPong<InProcess, NoOpMutator, NoOpMutator>/32768/2",17187,77165.1,77162.3,ns,1.69865e+09,,,,
"BM_StreamingPingPong<InProcess, NoOpMutator, NoOpMutator>/262144/1",5404,258602,258593,ns,2.02747e+09,,,,
"BM_StreamingPingPong<InProcess, NoOpMutator, NoOpMutator>/262144/2",2840,486112,486084,ns,2.15719e+09,,,,
"BM_StreamingPingPong<InProcess, NoOpMutator, NoOpMutator>/2097152/1",522,2.67132e+06,2.67108e+06,ns,1.57027e+09,,,,
"BM_StreamingPingPong<InProcess, NoOpMutator, NoOpMutator>/2097152/2",261,5.38848e+06,5.38825e+06,ns,1.55683e+09,,,,
"BM_StreamingPingPong<InProcess, NoOpMutator, NoOpMutator>/16777216/1",67,1.85262e+07,1.85254e+07,ns,1.81127e+09,,,,
"BM_StreamingPingPong<InProcess, NoOpMutator, NoOpMutator>/16777216/2",35,3.77459e+07,3.7743e+07,ns,1.77805e+09,,,,
"BM_StreamingPingPong<InProcess, NoOpMutator, NoOpMutator>/134217728/1",5,2.26709e+08,2.26696e+08,ns,1.18412e+09,,,,
"BM_StreamingPingPong<InProcess, NoOpMutator, NoOpMutator>/134217728/2",3,4.48915e+08,4.48864e+08,ns,1.19607e+09,,,,
"BM_StreamingPingPong<ShmemTransport, NoOpMutator, NoOpMutator>/0/0",236763,6007.6,6007.34,ns,0,,,,
"BM_StreamingPingPong<ShmemTransport, NoOpMutator, NoOpMutator>/0/1",121583,11545.9,11545.6,ns,0,,,,
"BM_StreamingPingPong<ShmemTransport, NoOpMutator, NoOpMutator>/0/2",90638,15202.4,15201.1,ns,0,,,,
"BM_StreamingPingPong<ShmemTransport, NoOpMutator, NoOpMutator>/1/1",112081,11788.2,11788,ns,169664,,,,
"BM_StreamingPingPong<ShmemTransport, NoOpMutator, NoOpMutator>/1/2",88149,15779.5,15777.4,ns,253527,,,,
"BM_StreamingPingPong<ShmemTransport, NoOpMutator, NoOpMutator>/8/1",118913,11747.2,11745.9,ns,1.36218e+06,,,,
"BM_StreamingPingPong<ShmemTransport, NoOpMutator, NoOpMutator>/8/2",89025,15739.7,15739.3,ns,2.03313e+06,,,,
"BM_StreamingPingPong<ShmemTransport, NoOpMutator, NoOpMutator>/64/1",117572,12030.5,12030.2,ns,1.06399e+07,,,,
"BM_StreamingPingPong<ShmemTransport, NoOpMutator, NoOpMutator>/64/2",86716,16175.2,16173.9,ns,1.58279e+07,,,,
"BM_StreamingPingPong<ShmemTransport, NoOpMutator, NoOpMutator>/512/1",103931,12213.5,12213,ns,8.38453e+07,,,,
"BM_StreamingPingPong<ShmemTransport, NoOpMutator, NoOpMutator>/512/2",81431,16678,16676.6,ns,1.22807e+08,,,,
"BM_StreamingPingPong<ShmemTransport, NoOpMutator, NoOpMutator>/4096/1",102664,13481.8,13480.7,ns,6.07682e+08,,,,
"BM_StreamingPingPong<ShmemTransport, NoOpMutator, NoOpMutator>/4096/2",68651,21583.9,21582.3,ns,7.59139e+08,,,,
"BM_StreamingPingPong<ShmemTransport, NoOpMutator, NoOpMutator>/32768/1",33606,41629.9,41627.3,ns,1.57435e+09,,,,
"BM_StreamingPingPong<ShmemTransport, NoOpMutator, NoOpMutator>/32768/2",18540,75727.3,75725.3,ns,1.73089e+09,,,,
"BM_StreamingPingPong<ShmemTransport, NoOpMutator, NoOpMutator>/262144/1",4589,298341,298321,ns,1.75746e+09,,,,
"BM_StreamingPingPong<ShmemTransport, NoOpMutator, NoOpMutator>/262144/2",2382,586608,586592,ns,1.78757e+09,,,,
"BM_StreamingPingPong<ShmemTransport, NoOpMutator, NoOpMutator>/2097152/1",481,2.8975e+06,2.89743e+06,ns,1.44759e+09,,,,
"BM_StreamingPingPong<ShmemTransport, NoOpMutator, NoOpMutator>/2097152/2",240,5.815e+06,5.81444e+06,ns,1.44272e+09,,,,
"BM_StreamingPingPong<ShmemTransport, NoOpMutator, NoOpMutator>/16777216/1",69,1.86311e+07,1.86296e+07,ns,1.80113e+09,,,,
"BM_StreamingPingPong<ShmemTransport, NoOpMutator, NoOpMutator>/16777216/2",38,3.75363e+07,3.75316e+07,ns,1.78806e+09,,,,
"BM_StreamingPingPong<ShmemTransport, NoOpMutator, NoOpMutator>/134217728/1",5,2.10569e+08,2.10548e+08,ns,1.27494e+09,,,,
"BM_StreamingPingPong<ShmemTransport, NoOpMutator, NoOpMutator>/134217728/2",3,4.13131e+08,4.131e+08,ns,1.29961e+09,,,,
"BM_StreamingPingPongMsgs<TCP, NoOpMutator, NoOpMutator>/0",19929,144690,68038.7,ns,0,,,,
"BM_StreamingPingPongMsgs<TCP, NoOpMutator, NoOpMutator>/1",20027,155158,72267.7,ns,27674.9,,,,
"BM_StreamingPingPongMsgs<TCP, NoOpMutator, NoOpMutator>/8",18750,148318,70377.5,ns,227345,,,,
"BM_StreamingPingPongMsgs<TCP, NoOpMutator, NoOpMutator>/64",18910,155172,74514.8,ns,1.71778e+06,,,,
"BM_StreamingPingPongMsgs<TCP, NoOpMutator, NoOpMutator>/512",18852,155821,74335.2,ns,1.37754e+07,,,,
"BM_StreamingPingPongMsgs<TCP, NoOpMutator, NoOpMutator>/4096",17558,159038,79537.8,ns,1.02995e+08,,,,
"BM_StreamingPingPongMsgs<TCP, NoOpMutator, NoOpMutator>/32768",12946,190273,102000,ns,6.42509e+08,,,,
"BM_StreamingPingPongMsgs<TCP, NoOpMutator, NoOpMutator>/262144",5288,343435,256151,ns,2.04679e+09,,,,
"BM_StreamingPingPongMsgs<TCP, NoOpMutator, NoOpMutator>/2097152",473,3.14936e+06,3.05793e+06,ns,1.37162e+09,,,,
"BM_StreamingPingPongMsgs<TCP, NoOpMutator, NoOpMutator>/16777216",69,2.80122e+07,2.53472e+07,ns,1.32379e+09,,,,
"BM_StreamingPingPongMsgs<TCP, NoOpMutator, NoOpMutator>/134217728",5,3.12366e+08,2.38028e+08,ns,1.12775e+09,,,,
"BM_StreamingPingPongMsgs<InProcess, NoOpMutator, NoOpMutator>/0",320136,4425.01,4424.83,ns,0,,,,
"BM_StreamingPingPongMsgs<InProcess, NoOpMutator, NoOpMutator>/1",303388,4489.96,4489.8,ns,445454,,,,
"BM_StreamingPingPongMsgs<InProcess, NoOpMutator, NoOpMutator>/8",300190,4604.73,4604.46,ns,3.47489e+06,,,,
"BM_StreamingPingPongMsgs<InProcess, NoOpMutator, NoOpMutator>/64",306181,4757.84,4757.35,ns,2.69057e+07,,,,
"BM_StreamingPingPongMsgs<InProcess, NoOpMutator, NoOpMutator>/512",284589,4818.34,4818.23,ns,2.12526e+08,,,,
"BM_StreamingPingPongMsgs<InProcess, NoOpMutator, NoOpMutator>/4096",153036,8967.9,8967.72,ns,9.13499e+08,,,,
"BM_StreamingPingPongMsgs<InProcess, NoOpMutator, NoOpMutator>/32768",39857,36074,36072.9,ns,1.81676e+09,,,,
"BM_StreamingPingPongMsgs<InProcess, NoOpMutator, NoOpMutator>/262144",5302,259425,259417,ns,2.02102e+09,,,,
"BM_StreamingPingPongMsgs<InProcess, NoOpMutator, NoOpMutator>/2097152",502,2.75703e+06,2.75684e+06,ns,1.52142e+09,,,,
"BM_StreamingPingPongMsgs<InProcess, NoOpMutator, NoOpMutator>/16777216",68,1.90044e+07,1.90032e+07,ns,1.76573e+09,,,,
"BM_StreamingPingPongMsgs<InProcess, NoOpMutator, NoOpMutator>/134217728",5,2.39304e+08,2.39282e+08,ns,1.12184e+09,,,,
"BM_StreamingPingPongMsgs<ShmemTransport, NoOpMutator, NoOpMutator>/0",370409,3717.86,3717.76,ns,0,,,,
"BM_StreamingPingPongMsgs<ShmemTransport, NoOpMutator, NoOpMutator>/1",380906,3712.19,3712.09,ns,538780,,,,
"BM_StreamingPingPongMsgs<ShmemTransport, NoOpMutator, NoOpMutator>/8",380173,3657.43,3657.12,ns,4.37503e+06,,,,
"BM_StreamingPingPongMsgs<ShmemTransport, NoOpMutator, NoOpMutator>/64",373298,3859.3,3859.11,ns,3.31682e+07,,,,
"BM_StreamingPingPongMsgs<ShmemTransport, NoOpMutator, NoOpMutator>/512",355969,4067.55,4067.32,ns,2.51763e+08,,,,
"BM_StreamingPingPongMsgs<ShmemTransport, NoOpMutator, NoOpMutator>/4096",187003,7661.44,7661.04,ns,1.06931e+09,,,,
"BM_StreamingPingPongMsgs<ShmemTransport, NoOpMutator, NoOpMutator>/32768",40871,32417.7,32417,ns,2.02166e+09,,,,
"BM_StreamingPingPongMsgs<ShmemTransport, NoOpMutator, NoOpMutator>/262144",4769,285193,285171,ns,1.83851e+09,,,,
"BM_StreamingPingPongMsgs<ShmemTransport, NoOpMutator, NoOpMutator>/2097152",465,2.98141e+06,2.98115e+06,ns,1.40694e+09,,,,
"BM_StreamingPingPongMsgs<ShmemTransport, NoOpMutator, NoOpMutator>/16777216",74,1.76541e+07,1.7653e+07,ns,1.90078e+09,,,,
"BM_StreamingPingPongMsgs<ShmemTransport, NoOpMutator, NoOpMutator>/134217728",6,2.02888e+08,2.02881e+08,ns,1.32312e+09,,,,
"BM_StreamingPingPong<MinTCP, NoOpMutator, NoOpMutator>/0/0",13589,165774,100567,ns,0,,,,
"BM_StreamingPingPong<MinTCP, NoOpMutator, NoOpMutator>/0/1",8030,324984,171318,ns,0,,,,
"BM_StreamingPingPong<MinTCP, NoOpMutator, NoOpMutator>/0/2",5726,452215,235486,ns,0,,,,
"BM_StreamingPingPong<MinTCP, NoOpMutator, NoOpMutator>/1/1",7856,344720,179568,ns,11137.9,,,,
"BM_StreamingPingPong<MinTCP, NoOpMutator, NoOpMutator>/1/2",5509,475583,247899,ns,16135.6,,,,
"BM_StreamingPingPong<MinTCP, NoOpMutator, NoOpMutator>/8/1",7887,327233,172853,ns,92564.2,,,,
"BM_StreamingPingPong<MinTCP, NoOpMutator, NoOpMutator>/8/2",5703,466852,242491,ns,131963,,,,
"BM_StreamingPingPong<MinTCP, NoOpMutator, NoOpMutator>/64/1",7838,341455,180246,ns,710139,,,,
"BM_StreamingPingPong<MinTCP, NoOpMutator, NoOpMutator>/64/2",5714,479926,248756,ns,1.02912e+06,,,,
"BM_StreamingPingPong<MinTCP, NoOpMutator, NoOpMutator>/512/1",7949,322964,180718,ns,5.66629e+06,,,,
"BM_StreamingPingPong<MinTCP, NoOpMutator, NoOpMutator>/512/2",5581,484423,253758,ns,8.07069e+06,,,,
"BM_StreamingPingPong<MinTCP, NoOpMutator, NoOpMutator>/4096/1",7177,375407,204637,ns,4.00319e+07,,,,
"BM_StreamingPingPong<MinTCP, NoOpMutator, NoOpMutator>/4096/2",5381,475284,255975,ns,6.40062e+07,,,,
"BM_StreamingPingPong<MinTCP, NoOpMutator, NoOpMutator>/32768/1",6700,367310,211000,ns,3.10598e+08,,,,
"BM_StreamingPingPong<MinTCP, NoOpMutator, NoOpMutator>/32768/2",4510,556135,307047,ns,4.26879e+08,,,,
"BM_StreamingPingPong<MinTCP, NoOpMutator, NoOpMutator>/262144/1",3610,545109,378190,ns,1.38631e+09,,,,
"BM_StreamingPingPong<MinTCP, NoOpMutator, NoOpMutator>/262144/2",2305,897927,634458,ns,1.65271e+09,,,,
"BM_StreamingPingPong<MinTCP, NoOpMutator, NoOpMutator>/2097152/1",464,3.22127e+06,3.04364e+06,ns,1.37805e+09,,,,
"BM_StreamingPingPong<MinTCP, NoOpMutator, NoOpMutator>/2097152/2",229,6.19944e+06,5.91439e+06,ns,1.41834e+09,,,,
"BM_StreamingPingPong<MinTCP, NoOpMutator, NoOpMutator>/16777216/1",71,2.14276e+07,1.83494e+07,ns,1.82864e+09,,,,
"BM_StreamingPingPong<MinTCP, NoOpMutator, NoOpMutator>/16777216/2",32,4.18652e+07,3.76525e+07,ns,1.78232e+09,,,,
"BM_StreamingPingPong<MinTCP, NoOpMutator, NoOpMutator>/134217728/1",6,2.93229e+08,2.19107e+08,ns,1.22514e+09,,,,
"BM_StreamingPingPong<MinTCP, NoOpMutator, NoOpMutator>/134217728/2",3,6.3333e+08,4.4385e+08,ns,1.20958e+09,,,,
"BM_StreamingPingPong<MinInProcess, NoOpMutator, NoOpMutator>/0/0",223442,6226.92,6226.59,ns,0,,,,
"BM_StreamingPingPong<MinInProcess, NoOpMutator, NoOpMutator>/0/1",159561,8656.32,8655.75,ns,0,,,,
"BM_StreamingPingPong<MinInProcess, NoOpMutator, NoOpMutator>/0/2",132389,10412.6,10412,ns,0,,,,
"BM_StreamingPingPong<MinInProcess, NoOpMutator, NoOpMutator>/1/1",156982,8855.68,8854.82,ns,225866,,,,
"BM_StreamingPingPong<MinInProcess, NoOpMutator, NoOpMutator>/1/2",127044,10924.9,10923.6,ns,366178,,,,
"BM_StreamingPingPong<MinInProcess, NoOpMutator, NoOpMutator>/8/1",155730,8944.26,8943.63,ns,1.78898e+06,,,,
"BM_StreamingPingPong<MinInProcess, NoOpMutator, NoOpMutator>/8/2",126221,10846,10845.3,ns,2.95059e+06,,,,
"BM_StreamingPingPong<MinInProcess, NoOpMutator, NoOpMutator>/64/1",154701,9099.17,9098.66,ns,1.4068e+07,,,,
"BM_StreamingPingPong<MinInProcess, NoOpMutator, NoOpMutator>/64/2",111120,11472.2,11471.2,ns,2.23167e+07,,,,
"BM_StreamingPingPong<MinInProcess, NoOpMutator, NoOpMutator>/512/1",144234,9416.72,9416.55,ns,1.08745e+08,,,,
"BM_StreamingPingPong<MinInProcess, NoOpMutator, NoOpMutator>/512/2",117801,11787,11786.3,ns,1.73761e+08,,,,
"BM_StreamingPingPong<MinInProcess, NoOpMutator, NoOpMutator>/4096/1",118016,10555.3,10555,ns,7.76126e+08,,,,
"BM_StreamingPingPong<MinInProcess, NoOpMutator, NoOpMutator>/4096/2",98906,14137.1,14136.3,ns,1.15901e+09,,,,
"BM_StreamingPingPong<MinInProcess, NoOpMutator, NoOpMutator>/32768/1",37153,37148.3,37146.7,ns,1.76425e+09,,,,
